driverId,stop,lap,time,duration
albon,1,6,14:22:39,28.417
gasly,1,7,14:24:09,28.356
giovinazzi,1,7,14:24:23,27.892
russell,1,8,14:25:59,28.391
kevin_magnussen,1,9,14:27:31,28.934
latifi,1,9,14:27:35,28.696
norris,1,12,14:31:56,27.949
bottas,1,13,14:33:10,28.408
hamilton,1,14,14:34:45,28.406
ricciardo,1,14,14:34:58,28.587
hulkenberg,1,15,14:36:26,28.981
grosjean,1,17,14:40:00,29.377
stroll,1,18,14:41:04,28.235
leclerc,1,18,14:41:13,29.419
kvyat,1,19,14:43:00,28.036
kevin_magnussen,2,20,14:45:03,29.389
sainz,1,22,14:47:30,35.864
ocon,1,22,14:47:36,28.093
vettel,1,22,14:47:40,28.167
gasly,2,23,14:49:25,28.306
russell,2,24,14:51:11,28.331
max_verstappen,1,26,14:53:04,29.115
ricciardo,2,26,14:53:46,28.167
raikkonen,1,26,14:54:13,29.296
latifi,2,26,14:54:19,28.086
norris,2,29,14:58:32,28.874
hulkenberg,2,30,14:59:44,28.386
albon,2,30,15:00:01,27.858
stroll,2,31,15:01:17,27.974
max_verstappen,2,32,15:02:28,28.986
